trade_id,direction,is_trend,entry_time,exit_time,entry_price,exit_price,size_btc,lots,gross_pnl,net_pnl,points_captured,exit_reason,trail_stage_at_exit,bars_held,entry_fee,entry_gst,exit_fee,exit_gst,funding_paid
935,SHORT,True,2026-02-05 17:00:00+00:00,2026-02-05 18:49:30+00:00,68288.07050999999,66477.55,0.1,100,181.05205099999876,175.45418465990875,1810.5205099999876,Trail_SL_Stage3,3,0,3.4144035255,0.61459263459,1.3295510000000004,0.23931918000000005,0.0
936,SHORT,True,2026-02-05 20:00:00+00:00,2026-02-05 21:03:00+00:00,65258.883459000004,63463.69687321088,0.1,100,179.51865857891244,174.17064120862366,1795.1865857891244,Trail_SL_Stage2,2,0,3.2629441729500006,0.5873299511310001,1.2692739374642177,0.22846930874355917,0.0
937,SHORT,True,2026-02-07 06:30:00+00:00,2026-02-07 07:09:00+00:00,70208.028495,69084.8,0.1,100,112.3228495000003,106.5501745387953,1123.228495000003,Trail_SL_Stage2,2,0,3.5104014247500004,0.631872256455,1.3816960000000003,0.24870528000000003,0.0
938,SHORT,True,2026-02-07 09:30:00+00:00,2026-02-07 10:54:00+00:00,68457.143601,68040.84629204698,0.1,100,41.629730895302785,35.98499545035148,416.2973089530278,Trail_SL_Stage1,1,0,3.4228571800500003,0.6161142924090001,1.3608169258409397,0.24494704665136913,0.0
939,LONG,True,2026-02-08 12:30:00+00:00,2026-02-08 13:42:00+00:00,70967.21601199999,71250.56701044372,0.1,100,28.3350998443726,22.466520718218128,283.350998443726,Trail_SL_Stage1,1,0,3.5483608005999994,0.6387049441079998,1.4250113402088744,0.2565020412375974,0.0
940,SHORT,True,2026-02-09 13:30:00+00:00,2026-02-09 14:21:00+00:00,69264.182889,69050.93,0.1,100,21.325288900001034,15.609100161550034,213.25288900001033,Trail_SL_Stage2,2,0,3.4632091444500004,0.6233776460010001,1.3810186,0.24858334799999998,0.0
941,SHORT,True,2026-02-10 11:30:00+00:00,2026-02-10 12:19:30+00:00,68923.97691299999,68829.17,0.1,100,9.480691299999307,3.7898082501323067,94.80691299999307,Trail_SL_Stage1,1,0,3.44619884565,0.620315792217,1.3765834000000001,0.24778501200000003,0.0
942,SHORT,True,2026-02-10 14:30:00+00:00,2026-02-10 15:18:00+00:00,69217.97751,69151.23291463907,0.1,100,6.674459536092764,0.9586297662172809,66.74459536092763,Trail_SL_Stage2,2,0,3.4608988755000003,0.62296179759,1.3830246582927817,0.24894443849270068,0.0
943,SHORT,True,2026-02-11 04:00:00+00:00,2026-02-11 04:52:30+00:00,68180.93122500001,67680.06744945193,0.1,100,50.086377554807406,44.46645302072534,500.86377554807405,Trail_SL_Stage2,2,0,3.4090465612500007,0.6136283810250001,1.3536013489890388,0.243648242818027,0.0
944,SHORT,True,2026-02-11 05:30:00+00:00,2026-02-11 06:31:30+00:00,67580.411283,67121.40470930797,0.1,100,45.900657369202236,40.329347952365566,459.00657369202236,Trail_SL_Stage2,2,0,3.3790205641499997,0.6082237015469999,1.3424280941861595,0.2416370569535087,0.0
945,SHORT,True,2026-02-11 08:00:00+00:00,2026-02-11 10:31:30+00:00,67025.756754,66871.82368315996,0.1,100,15.393307084003755,9.86061239659518,153.93307084003754,Trail_SL_Stage1,1,0,3.3512878377,0.603231810786,1.3374364736631994,0.24073856525937587,0.0
946,SHORT,True,2026-02-11 14:30:00+00:00,2026-02-11 15:10:30+00:00,67992.950025,66799.83,0.1,100,119.31200249999966,113.72394246052467,1193.1200249999965,Trail_SL_Stage2,2,0,3.39964750125,0.6119365502249999,1.3359966,0.24047938800000002,0.0
